PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL16,1,1,,,,,7,,2023-02-10T10:46:26-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL17,1,1,,,,,8,,2023-02-10T10:46:28-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL18_instruction,1,,,,,,9,,2023-02-10T10:46:29-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL18_image,1,,,,,,10,,2023-02-10T10:46:30-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL18,8,0,,,,,11,,2023-02-10T10:46:33-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL20,1,1,,,,,12,,2023-02-10T10:46:35-0600,xxxx.x
567,1B4CE8C1-B53E-4412-8B5D-59A079E39D99,MR RT 21023 5,6B6A3038-88A2-404E-939B-C9CA7BE65EF8,Mullen Receptive,RL22,1|2|3|4|5,4,,,,,13,,2023-02-10T10:46:39-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,Mullen_Rec_Title,1,,,,,,1,,2023-02-10T10:33:41-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,Mullen_Rec_Instructions,1,,,,,,2,,2023-02-10T10:33:42-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL1,1,1,,,,,3,,2023-02-10T10:34:04-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL3,1,1,,,,,4,,2023-02-10T10:34:49-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL5,1,1,,,,,5,,2023-02-10T10:35:52-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL6,1,1,,,,,6,,2023-02-10T10:35:53-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL9,1,1,,,,,7,,2023-02-10T10:36:03-0600,xxxx.x
567,A83A8160-9024-40DC-8CAA-D863482165EF,MR RT 21023 2,C26C333E-4702-4EA8-8000-FDDB35CD6D9A,Mullen Receptive,RL10,1,1,,,,,8,,2023-02-10T10:36:05-0600,xxxx.x
