PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_Title,1,,,,,,1,,2023-02-09T19:05:08-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_Instructions,1,,,,,,2,,2023-02-09T19:05:09-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_5,7,0,,,,,3,,2023-02-09T19:07:26-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_7,9,0,,,,,4,,2023-02-09T19:07:35-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_3,11,0,,,,,5,,2023-02-09T19:07:49-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_8,invalidResp,0,,,,,6,,2023-02-09T19:08:00-0600,xxxx.x
NBT_PROMIS_12m,4CBB1317-89C9-4AF5-9114-B7B2B339DB16,Arithmetic,1352A9C6-69AB-4FD1-A41B-EF2F0BE89E14,Verbal Arithmetic,REMA_4,noResp,0,,,,,7,,2023-02-09T19:08:18-0600,xxxx.x
